name,kind,city,state,vehicle_cap,cap_note,lead_hits
Bristow Manor Golf Club,venue,Bristow,VA,,,0
Stonewall Golf Club,venue,Gainesville,VA,,,0
Old Hickory Golf Club,venue,Woodbridge,VA,,,0
Regency at Dominion Valley Country Club,venue,Haymarket,VA,,,0
Historic Blenheim,venue,Fairfax,VA,,,0
Old Town Hall,venue,Fairfax,VA,,,0
Green Spring Gardens,venue,Alexandria,VA,,,0
River Farm,venue,Alexandria,VA,,,0
Torpedo Factory Art Center,venue,Alexandria,VA,,,0
Lee-Fendall House,venue,Alexandria,VA,,,0
Carlyle House,venue,Alexandria,VA,,,0
The Athenaeum,venue,Alexandria,VA,,,0
Gadsby's Tavern,venue,Alexandria,VA,,,0
George Washington's Mount Vernon,venue,Mount Vernon,VA,,,0
Capital One Hall,venue,Tysons,VA,,,0
2941 Restaurant,venue,Falls Church,VA,,,0
The Hylton Performing Arts Center,venue,Manassas,VA,,,0
Ben Lomond Historic Site,venue,Manassas,VA,,,0
Rippon Lodge,venue,Woodbridge,VA,,,0
Congressional Country Club,venue,Bethesda,MD,,,0
Woodend Sanctuary,venue,Chevy Chase,MD,,,0
The Mansion at Strathmore,venue,North Bethesda,MD,,,0
Rockwood Manor,venue,Potomac,MD,,,0
Glenview Mansion,venue,Rockville,MD,,,0
TPC Potomac at Avenel Farm,venue,Potomac,MD,,,0
Bolger Center,venue,Potomac,MD,,,0
Manor Country Club,venue,Rockville,MD,,,0
Argyle Country Club,venue,Silver Spring,MD,,,0
Indian Spring Country Club,venue,Silver Spring,MD,,,0
Brookside Gardens,venue,Wheaton,MD,,,0
Kentlands Mansion,venue,Gaithersburg,MD,,,0
The Comus Inn at Sugarloaf Mountain,venue,Dickerson,MD,,,0
Ceresville Mansion,venue,Frederick,MD,,,0
Walkers Overlook,venue,Frederick,MD,,,0
Stone Manor Country Club,venue,Middletown,MD,,,0
Musket Ridge Golf Club,venue,Myersville,MD,,,0
Morningside Inn,venue,Frederick,MD,,,0
Renn Farm,venue,Adamstown,MD,,,0
Historic Oakland Manor,venue,Columbia,MD,,,0
Belmont Manor and Historic Park,venue,Elkridge,MD,,,0
Turf Valley Resort,venue,Ellicott City,MD,,,0
Historic Waverly Mansion,venue,Marriottsville,MD,,,0
The Elkridge Furnace Inn,venue,Elkridge,MD,,,0
Merriweather Park at Symphony Woods,venue,Columbia,MD,,,0
Howard County Conservancy,venue,Woodstock,MD,,,0
Historic London Town and Gardens,venue,Edgewater,MD,,,0
The Chesapeake Bay Beach Club,venue,Stevensville,MD,,,0
Kurtz's Beach,venue,Pasadena,MD,,,0
Herrington on the Bay,venue,North Beach,MD,,,0
William Paca House and Garden,venue,Annapolis,MD,,,0
Annapolis Maritime Museum,venue,Annapolis,MD,,,0
Chesapeake Bay Foundation,venue,Annapolis,MD,,,0
Silver Swan Bayside,venue,Stevensville,MD,,,0
Kent Manor Inn,venue,Stevensville,MD,,,0
Kent Island Resort,venue,Stevensville,MD,,,0
Newton White Mansion,venue,Mitchellville,MD,,,0
Montpelier Mansion,venue,Laurel,MD,,,0
Riversdale House Museum,venue,Riverdale Park,MD,,,0
Camelot by Martin's,venue,Upper Marlboro,MD,,,0
Martin's Crosswinds,venue,Greenbelt,MD,,,0
Snow Hill Manor,venue,Laurel,MD,,,0
Marietta House Museum,venue,Glenn Dale,MD,,,0
La Fontaine Bleue,venue,Glen Burnie,MD,,,0
Prince George's Ballroom,venue,Landover,MD,,,0
The Grand Historic Venue,venue,Baltimore,MD,,,0
George Peabody Library,venue,Baltimore,MD,,,0
The Belvedere,venue,Baltimore,MD,,,0
American Visionary Art Museum,venue,Baltimore,MD,,,0
Baltimore Museum of Industry,venue,Baltimore,MD,,,0
Gramercy Mansion,venue,Stevenson,MD,,,0
Grey Rock Mansion,venue,Pikesville,MD,,,0
Cylburn Arboretum,venue,Baltimore,MD,,,0
Evergreen Museum and Library,venue,Baltimore,MD,,,0
Overhills Mansion,venue,Catonsville,MD,,,0
Liriodendron Mansion,venue,Bel Air,MD,,,0
The Tidewater Inn,venue,Easton,MD,,,0
Chesapeake Bay Maritime Museum,venue,St. Michaels,MD,,,0
The Inn at Perry Cabin,venue,St. Michaels,MD,,,0
Oaks Waterfront Inn,venue,Easton,MD,,,0
Great Oak Manor,venue,Chestertown,MD,,,0
Brittland Estates,venue,Chestertown,MD,,,0
Queenstown Harbor,venue,Queenstown,MD,,,0
Washington National Cathedral,church,Washington,DC,,,0
Basilica of the National Shrine of the Immaculate Conception,church,Washington,DC,,,0
Cathedral of St. Matthew the Apostle,church,Washington,DC,,,0
St. John's Episcopal Church Lafayette Square,church,Washington,DC,,,0
New York Avenue Presbyterian Church,church,Washington,DC,,,0
Franciscan Monastery of the Holy Land,church,Washington,DC,,,0
Holy Trinity Catholic Church,church,Washington,DC,,,0
Dahlgren Chapel of the Sacred Heart,church,Washington,DC,,,0
Blessed Sacrament Catholic Church,church,Alexandria,VA,,,0
The Falls Church Episcopal,church,Falls Church,VA,,,0
St. Anthony of Padua Catholic Church,church,Falls Church,VA,,,0
St. Mary of Sorrows Catholic Church,church,Fairfax,VA,,,0
St. Bernadette Catholic Church,church,Springfield,VA,,,0
Church of the Nativity,church,Burke,VA,,,0
Holy Spirit Catholic Church,church,Annandale,VA,,,0
Cathedral of St. Thomas More,church,Arlington,VA,,,0
St. Charles Borromeo Catholic Church,church,Arlington,VA,,,0
Our Lady of Good Counsel Catholic Church,church,Vienna,VA,,,0
St. Francis de Sales Catholic Church,church,Purcellville,VA,,,0
St. Theresa Catholic Church,church,Ashburn,VA,,,0
Cathedral of Mary Our Queen,church,Baltimore,MD,,,0
Saints Peter and Paul Catholic Church,church,Easton,MD,,,0
The Hay-Adams,hotel,Washington,DC,,,0
Willard InterContinental,hotel,Washington,DC,,,0
Fairmont Washington DC Georgetown,hotel,Washington,DC,,,0
The St. Regis Washington DC,hotel,Washington,DC,,,0
Riggs Washington DC,hotel,Washington,DC,,,0
The Mayflower Hotel,hotel,Washington,DC,,,0
Eaton DC,hotel,Washington,DC,,,0
Kimpton Hotel Monaco DC,hotel,Washington,DC,,,0
Salamander Washington DC,hotel,Washington,DC,,,0
The Ven at Embassy Row,hotel,Washington,DC,,,0
The Alexandrian,hotel,Alexandria,VA,,,0
Hotel Monaco Alexandria,hotel,Alexandria,VA,,,0
Lorien Hotel and Spa,hotel,Alexandria,VA,,,0
The Westin Alexandria Old Town,hotel,Alexandria,VA,,,0
The Ritz-Carlton Tysons Corner,hotel,McLean,VA,,,0
Hilton McLean Tysons Corner,hotel,McLean,VA,,,0
Westfields Marriott Washington Dulles,hotel,Chantilly,VA,,,0
The Westin Washington Dulles Airport,hotel,Herndon,VA,,,0
Hyatt Regency Reston,hotel,Reston,VA,,,0
Fairview Park Marriott,hotel,Falls Church,VA,,,0
Crystal Gateway Marriott,hotel,Arlington,VA,,,0
The Westin Arlington Gateway,hotel,Arlington,VA,,,0
Renaissance Arlington Capital View Hotel,hotel,Arlington,VA,,,0
Bethesda North Marriott Hotel and Conference Center,hotel,Bethesda,MD,,,0
Marriott Bethesda Downtown,hotel,Bethesda,MD,,,0
Canopy by Hilton Bethesda North,hotel,Bethesda,MD,,,0
Hilton Washington DC Rockville Hotel and Executive Meeting Center,hotel,Rockville,MD,,,0
Turf Valley Resort,hotel,Ellicott City,MD,,,0
The Hotel at the University of Maryland,hotel,College Park,MD,,,0
Annapolis Waterfront Hotel,hotel,Annapolis,MD,,,0
The Westin Annapolis,hotel,Annapolis,MD,,,0
Historic Inns of Annapolis,hotel,Annapolis,MD,,,0
Loews Annapolis Hotel,hotel,Annapolis,MD,,,0
Graduate Annapolis,hotel,Annapolis,MD,,,0
Sagamore Pendry Baltimore,hotel,Baltimore,MD,,,0
Four Seasons Hotel Baltimore,hotel,Baltimore,MD,,,0
Lord Baltimore Hotel,hotel,Baltimore,MD,,,0
The Ivy Hotel,hotel,Baltimore,MD,,,0
Hotel Revival Baltimore,hotel,Baltimore,MD,,,0
Delta Hotels by Marriott Baltimore Hunt Valley,hotel,Hunt Valley,MD,,,0
